;T_MIN;T_MAX;HAUTEUR_PRECIPITATION;DUREE_ENSOLEILLEMENT
1;4.3 C;14.6 C;0.2 mm;4.9 h
2;4.0 C;18.1 C;0.2 mm;9.7 h
3;7.8 C;17.9 C;0.0 mm;10.7 h
4;8.2 C;20.1 C;0.0 mm;13.9 h
5;10.4 C;25.1 C;0.0 mm;14.0 h
6;13.8 C;28.5 C;0.0 mm;14.0 h
7;15.6 C;27.3 C;0.0 mm;14.0 h
8;15.3 C;28.5 C;0.0 mm;13.0 h
9;12.9 C;23.0 C;0.0 mm;12.1 h
10;11.8 C;17.7 C;0.0 mm;5.5 h
11;9.0 C;22.8 C;0.0 mm;13.5 h
12;11.4 C;22.3 C;2.4 mm;2.2 h
13;9.5 C;15.4 C;0.6 mm;0.2 h
14;10.9 C;14.3 C;5.8 mm;0.0 h
15;12.1 C;21.4 C;0.0 mm;6.4 h
16;11.9 C;22.9 C;0.0 mm;9.8 h
17;10.4 C;20.4 C;0.0 mm;10.6 h
18;7.3 C;20.1 C;0.0 mm;13.8 h
19;8.1 C;21.0 C;0.0 mm;13.9 h
20;8.8 C;24.5 C;0.0 mm;14.1 h
21;12.7 C;24.7 C;0.0 mm;7.7 h
22;15.2 C;24.3 C;2.4 mm;6.6 h
23;13.3 C;22.5 C;0.0 mm;8.5 h
24;14.7 C;25.7 C;0.0 mm;8.7 h
25;15.3 C;27.7 C;12.6 mm;8.1 h
26;16.0 C;28.5 C;0.2 mm;9.2 h
27;18.4 C;29.0 C;0.0 mm;7.9 h
28;18.7 C;28.0 C;21.6 mm;1.8 h
29;16.3 C;24.4 C;34.2 mm;2.8 h
30;15.5 C;26.7 C;0.2 mm;5.6 h
31;17.0 C;25.9 C;0.0 mm;10.3 h
