;id;T_MIN;T_MAX;H_PRECIPITATION;DUREE_SOLEIL;DATE
334;1;5.0;13.7;0.0;4.0;2017-11-01
335;2;7.2;14.2;0.0;0.8;2017-11-02
336;3;10.9;17.0;0.0;2.6;2017-11-03
337;4;9.2;15.8;3.6;0.7;2017-11-04
338;5;6.7;10.6;0.0;5.5;2017-11-05
339;6;5.4;11.2;0.0;6.6;2017-11-06
340;7;2.8;9.4;0.0;7.1;2017-11-07
341;8;1.2;9.4;0.0;0.5;2017-11-08
342;9;7.3;11.3;1.0;1.8;2017-11-09
343;10;8.5;13.6;0.8;1.2;2017-11-10
344;11;8.7;13.5;8.8;0.0;2017-11-11
345;12;6.7;12.6;9.7;1.1;2017-11-12
346;13;6.1;9.7;0.0;3.3;2017-11-13
347;14;3.8;11.0;0.0;5.6;2017-11-14
348;15;5.1;9.8;0.0;1.8;2017-11-15
349;16;6.4;11.7;0.0;2.1;2017-11-16
350;17;8.5;10.6;0.0;0.1;2017-11-17
351;18;3.9;9.6;1.4;0.8;2017-11-18
352;19;6.2;8.8;0.0;3.8;2017-11-19
353;20;4.6;10.3;0.0;0.2;2017-11-20
354;21;7.9;10.8;0.0;0.0;2017-11-21
355;22;7.5;14.0;0.0;7.3;2017-11-22
356;23;10.7;16.8;6.7;1.7;2017-11-23
357;24;9.7;12.1;0.4;0.4;2017-11-24
358;25;4.6;7.0;0.8;1.8;2017-11-25
359;26;3.3;8.0;0.0;4.1;2017-11-26
360;27;4.7;8.5;14.7;0.2;2017-11-27
361;28;5.7;10.5;1.0;3.6;2017-11-28
362;29;1.9;5.8;1.0;2.6;2017-11-29
363;30;2.1;5.2;5.0;3.0;2017-11-30
273;1;0.8;4.5;0.0;0.7;2017-12-01
274;2;-0.3;1.8;0.0;0.4;2017-12-02
275;3;-1.9;5.8;0.4;0.0;2017-12-03
276;4;2.9;9.4;0.0;0.4;2017-12-04
277;5;3.1;8.3;0.0;0.0;2017-12-05
278;6;5.4;6.7;0.0;0.0;2017-12-06
279;7;2.1;9.5;3.6;0.0;2017-12-07
280;8;2.2;5.2;2.4;2.4;2017-12-08
281;9;0.5;6.0;4.6;6.2;2017-12-09
282;10;1.2;10.4;25.6;0.8;2017-12-10
283;11;3.2;10.1;3.2;0.0;2017-12-11
284;12;1.8;6.7;0.0;5.0;2017-12-12
285;13;3.2;9.5;13.6;0.0;2017-12-13
286;14;4.1;7.7;3.0;1.2;2017-12-14
287;15;3.9;6.6;2.6;1.9;2017-12-15
288;16;4.6;6.2;0.4;1.2;2017-12-16
289;17;2.8;9.2;4.8;3.6;2017-12-17
290;18;4.5;8.6;0.0;3.4;2017-12-18
291;19;3.4;6.4;0.0;2.5;2017-12-19
292;20;3.6;9.4;0.6;0.0;2017-12-20
293;21;9.0;11.2;1.2;0.0;2017-12-21
294;22;9.0;10.9;1.6;0.0;2017-12-22
295;23;9.1;9.8;0.0;0.0;2017-12-23
296;24;8.7;9.1;0.2;0.0;2017-12-24
297;25;4.3;7.5;2.2;0.0;2017-12-25
298;26;4.3;8.1;5.4;0.9;2017-12-26
299;27;3.9;6.4;3.0;0.7;2017-12-27
300;28;1.4;6.4;0.0;7.1;2017-12-28
301;29;0.3;11.9;15.1;0.2;2017-12-29
302;30;6.9;14.9;0.8;0.3;2017-12-30
303;31;10.7;15.1;1.0;0.9;2017-12-31
122;1;6.4;9.6;14.5;0.6;2018-01-01
